Geneid	SRR10379721	SRR10379722	SRR10379723	SRR10379724	SRR10379725	SRR10379726
SAOUHSC_00583	18	5	12	4	10	1
SAOUHSC_00584	41	17	33	22	16	3
SAOUHSC_00585	48	23	22	35	54	2
SAOUHSC_00586	61	31	57	100	174	20
SAOUHSC_00587	0	0	1	0	3	1
SAOUHSC_00588	33	20	25	77	99	4
SAOUHSC_00589	37	29	38	23	27	7
SAOUHSC_00591	59	35	51	20	21	1
SAOUHSC_00592	22	15	13	6	4	1
SAOUHSC_00596	24	6	15	7	2	0
SAOUHSC_00598	19	8	12	3	3	1
SAOUHSC_00599	25	14	19	12	20	6
SAOUHSC_00600	157	91	101	65	54	9
SAOUHSC_00602	85	49	63	40	27	2
SAOUHSC_00603	58	23	43	12	8	0
SAOUHSC_00604	214	95	143	58	51	1
SAOUHSC_00605	61	34	35	31	25	0
SAOUHSC_00606	164	101	103	74	74	4
SAOUHSC_00607	7	4	7	6	6	0
SAOUHSC_00608	38	22	22	21	12	0
SAOUHSC_00609	231	122	135	32	29	0
SAOUHSC_00610	44	14	34	16	27	1
SAOUHSC_00611	251	150	173	84	67	2
SAOUHSC_00612	205	143	133	83	77	5
SAOUHSC_00613	49	35	31	23	28	0
SAOUHSC_00614	115	83	96	14	11	1
SAOUHSC_00615	67	48	38	41	34	2
SAOUHSC_00616	100	56	92	44	38	2
SAOUHSC_00617	192	180	192	16	13	0
SAOUHSC_00618	23	26	23	77	85	4
SAOUHSC_00619	252	181	173	74	112	15
SAOUHSC_00620	23	13	17	18	19	2
SAOUHSC_00621	131	86	74	52	43	5
SAOUHSC_00622	497	308	294	198	202	19
SAOUHSC_00624	44	39	30	62	67	4
SAOUHSC_00625	43	37	20	36	36	6
SAOUHSC_00626	224	146	127	123	146	35
SAOUHSC_00627	22	11	27	26	43	4
SAOUHSC_00628	57	24	25	41	48	13
SAOUHSC_00629	234	178	172	117	111	12
SAOUHSC_00632	197	151	147	117	53	11
SAOUHSC_00633	272	182	180	111	58	10
SAOUHSC_00634	406	262	241	201	139	28
SAOUHSC_00636	96	87	92	57	61	10
SAOUHSC_00637	173	124	104	176	143	24
SAOUHSC_00638	146	93	99	68	26	5
SAOUHSC_00639	100	55	67	21	18	3
