"gene","per_1","per_2","per_3","control_1","control_2","control_3","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SAOUHSC_02643",679,506,593,668,822,127,490.83164511593,0.15103122483948,0.229557405568706,0.657923557139511,0.510587252581627,0.593446732912208
"SAOUHSC_02644",3312,2326,2813,1870,1990,190,1742.27820379323,1.2323256876375,0.313358520874968,3.93263819409336,8.40186487714139e-05,0.000279455658525047
"SAOUHSC_02645",1344,3299,921,27464,7303,210,4796.14586825014,-2.27042812316403,0.910974290973773,-2.49230757186033,0.0126916080647822,0.0252960218756843
"SAOUHSC_02646",2020,4887,1234,28222,6646,562,5423.05098127268,-1.81287892929327,0.812708083528674,-2.23066432589422,0.0257033723705429,0.0470957931645526
"SAOUHSC_02647",7553,5392,4663,4608,5662,1846,4727.81959796816,0.182680861361654,0.392465193185518,0.465470223942384,0.641594755411197,0.715579986850112
"SAOUHSC_02648",11469,8242,9806,27572,31375,5647,13904.0026832656,-1.17021483929003,0.230992089145199,-5.06603859734108,4.06179592871221e-07,2.19118784501396e-06
"SAOUHSC_02649",4163,3323,2962,3480,3927,406,2522.81892410387,0.558545889679666,0.264655755057796,2.11046190761161,0.0348185889225403,0.061634803848646
"SAOUHSC_02650",8167,7765,5456,22466,39400,4005,11826.0033871449,-1.50340883408707,0.275320873541232,-5.46056975175883,4.7460897268762e-08,2.95752751238037e-07
"SAOUHSC_02651",369,260,231,892,1278,212,476.842670791527,-1.52116819738582,0.236987537414679,-6.41876874193639,1.37380915712752e-10,1.23265144648108e-09
"SAOUHSC_02652",1192,855,673,1709,2991,867,1405.32460755685,-1.39445287169485,0.425318043846545,-3.27861206894378,0.00104318933282402,0.00272922579960273
"SAOUHSC_02653",227,177,103,235,385,207,264.586353905513,-1.41428646951101,0.606895346881833,-2.33036301361918,0.0197869728822926,0.0374918622610057
"SAOUHSC_02654",705,432,316,652,999,147,463.36258541455,-0.347562607451569,0.289902714264269,-1.19889394045045,0.230569188236061,0.314697412694383
"SAOUHSC_02656",1835,1237,1279,1833,2560,837,1597.85166378993,-0.640627386631271,0.414259431522555,-1.54644007567125,0.121998321822463,0.183278261380007
"SAOUHSC_02657",42,14,20,13,16,0,13.4828675976902,1.52803382685477,0.693604067983577,2.20303469571195,0.0275923033070541,0.0502045323586886
"SAOUHSC_02658",1309,1014,951,1121,2124,180,909.696367005874,0.0991634037518889,0.298063412023713,0.332692305568856,0.739366558278677,0.799704260010616
